pos	category	lemma	offensiveness_score
2 sostantivo, aggettivo	ddf	storpie	3.2821151380131757
2 sostantivo, aggettivo	ddf	storpio	3.2821151380131757
2 sostantivo, aggettivo	ddf	stortignaccola	1.6914095831977498
2 sostantivo, aggettivo	ddf	stortignaccole	1.6914095831977498
2 sostantivo, aggettivo	ddf	stortignaccoli	1.6914095831977498
2 sostantivo, aggettivo	ddf	stortignaccolo	1.6914095831977498
3 sostantivo	ddf; qas; cds	stracci	2.9209095826098697
3 sostantivo	ddf; qas; cds	straccio	2.9209095826098697
2 sostantivo, aggettivo	is	stracciona	2.9209095826098697
2 sostantivo, aggettivo	is	straccione	2.9209095826098697
2 sostantivo, aggettivo	is	straccioni	2.9209095826098697
3 sostantivo	cds;ddp;qas;svp	strafalcione	1.1128667195042454
3 sostantivo	cds;ddp;qas;svp	strafalcioni	1.1128667195042454
1 aggettivo	cds	strafatta	2.601580442301847
1 aggettivo	cds	strafatte	2.601580442301847
1 aggettivo	cds	strafatti	2.601580442301847
1 aggettivo	cds	strafatto	2.601580442301847
1 aggettivo	dmc	strafottente	2.00127158293692
1 aggettivo	dmc	strafottenti	2.00127158293692
3 sostantivo	cds; svp	strafottenza	2.00127158293692
3 sostantivo	cds; svp	strafottenze	2.00127158293692
3 sostantivo	re; min	strage	2.004138763183092
3 sostantivo	re; min	stragi	2.004138763183092
1 aggettivo	dmc	stramba	1.8049774463758352
1 aggettivo	dmc	strambe	1.8049774463758352
1 aggettivo	dmc	strambi	1.8049774463758352
1 aggettivo	dmc	strambo	1.8049774463758352
1 aggettivo	dmc	strampalata	1.6918574480297888
1 aggettivo	dmc	strampalate	1.6918574480297888
1 aggettivo	dmc	strampalati	1.6918574480297888
1 aggettivo	dmc	strampalato	1.6918574480297888
3 sostantivo	cds; re	strangolatore	3.747266491844777
3 sostantivo	cds; re	strangolatori	3.747266491844777
3 sostantivo	cds; re	strangolatrice	3.747266491844777
3 sostantivo	cds; re	strangolatrici	3.747266491844777
3 sostantivo	mi	strapunza	3.893380783098075
3 sostantivo	mi	strapunze	3.893380783098075
1 aggettivo	cds	stravecchi	1.9564243678106528
1 aggettivo	cds	stravecchia	1.9564243678106528
1 aggettivo	cds	stravecchie	1.9564243678106528
1 aggettivo	cds	stravecchio	1.9564243678106528
3 sostantivo	pr; mi	strega	2.7055641988628993
3 sostantivo	pr; mi	streghe	2.7055641988628993
1 aggettivo	cds	strisciante	3.2960827780965403
1 aggettivo	cds	striscianti	3.2960827780965403
3 sostantivo	cds	stronzata	2.278731021491361
3 sostantivo	cds	stronzate	2.278731021491361
3 sostantivo	cds; pr;mi; an	stronze	3.2104984338794225
3 sostantivo	cds	stronzetta	3.2104984338794225
3 sostantivo	cds	stronzette	3.2104984338794225
3 sostantivo	cds	stronzetti	3.2104984338794225
3 sostantivo	cds	stronzetto	3.2104984338794225
3 sostantivo	cds; pr;mi; an	stronzi	3.2104984338794225
3 sostantivo	cds	stronzina	3.2104984338794225
3 sostantivo	cds	stronzine	3.2104984338794225
3 sostantivo	cds	stronzini	3.2104984338794225
