babelnet_id,lemma,sense_lemma,pos,examples,glosses,categories
bn:00022892n,reste,corset,NOUN,,A woman's close-fitting foundation garment,16th-century_fashion | 17th-century_fashion | 18th-century_fashion | 19th-century_fashion | 20th-century_fashion | All_articles_needing_additional_references | Articles_with_short_description | Body_modification | Corsetry | Cosmetic_surgery | Fetish_clothing | Gothic_fashion | History_of_clothing_(Europe) | History_of_clothing_(Western_fashion) | Victorian_fashion
bn:00022892n,reste,girdle,NOUN,,A woman's close-fitting foundation garment,16th-century_fashion | 17th-century_fashion | 18th-century_fashion | 19th-century_fashion | 20th-century_fashion | All_articles_needing_additional_references | Articles_with_short_description | Body_modification | Corsetry | Cosmetic_surgery | Fetish_clothing | Gothic_fashion | History_of_clothing_(Europe) | History_of_clothing_(Western_fashion) | Victorian_fashion
bn:00022892n,reste,stays,NOUN,,A woman's close-fitting foundation garment,16th-century_fashion | 17th-century_fashion | 18th-century_fashion | 19th-century_fashion | 20th-century_fashion | All_articles_needing_additional_references | Articles_with_short_description | Body_modification | Corsetry | Cosmetic_surgery | Fetish_clothing | Gothic_fashion | History_of_clothing_(Europe) | History_of_clothing_(Western_fashion) | Victorian_fashion
bn:00027024n,reste,remainder,NOUN,,The number that remains after subtraction; the number that when added to the subtrahend gives the minuend,All_articles_needing_additional_references | Articles_with_short_description | Elementary_arithmetic | Subtraction | Webarchive_template_wayback_links
bn:00027024n,reste,difference,NOUN,,The number that remains after subtraction; the number that when added to the subtrahend gives the minuend,All_articles_needing_additional_references | Articles_with_short_description | Elementary_arithmetic | Subtraction | Webarchive_template_wayback_links
bn:00008047n,reste,remainder,NOUN,He threw away the rest | He took what he wanted and I got the balance | There was no remainder,Something left after other parts have been taken away,
bn:00008047n,reste,balance,NOUN,He threw away the rest | He took what he wanted and I got the balance | There was no remainder,Something left after other parts have been taken away,
bn:00008047n,reste,residual,NOUN,He threw away the rest | He took what he wanted and I got the balance | There was no remainder,Something left after other parts have been taken away,
bn:00008047n,reste,residue,NOUN,He threw away the rest | He took what he wanted and I got the balance | There was no remainder,Something left after other parts have been taken away,
bn:00008047n,reste,residuum,NOUN,He threw away the rest | He took what he wanted and I got the balance | There was no remainder,Something left after other parts have been taken away,
bn:00008047n,reste,rest,NOUN,He threw away the rest | He took what he wanted and I got the balance | There was no remainder,Something left after other parts have been taken away,
bn:00067064n,reste,remainder,NOUN,,The part of the dividend that is left over when the dividend is not evenly divisible by the divisor,Division_(mathematics) | Number_theory
bn:00067374n,reste,rest,NOUN,,A musical notation indicating a silence of a specified duration,Musical_notation | Rhythm_and_meter | Silence
bn:00067065n,reste,remains,NOUN,I threw out the remains of my dinner,Any object that is left unused or still extant,
bn:00086638v,priver,deprive,VERB,,Take away,
bn:00086638v,priver,impoverish,VERB,,Take away,
bn:00086636v,priver,deprive,VERB,The Nazis stripped the Jews of all their assets,Take away possessions from someone,
bn:00086636v,priver,strip,VERB,The Nazis stripped the Jews of all their assets,Take away possessions from someone,
bn:00086636v,priver,divest,VERB,The Nazis stripped the Jews of all their assets,Take away possessions from someone,
bn:00086637v,priver,deprive,VERB,,"Keep from having, keeping, or obtaining",
bn:00077698n,torture,torture,NOUN,It required unnatural torturing to extract a confession,"The deliberate, systematic, or wanton infliction of physical or mental suffering by one or more persons in an attempt to force another person to yield information or to make a confession or for any other reason",Articles_with_short_description | Ethically_disputed_judicial_practices | Human_rights_abuses | Philosophy_of_law | Political_violence | State_crime | Suffering | Torture
bn:00077698n,torture,torturing,NOUN,It required unnatural torturing to extract a confession,"The deliberate, systematic, or wanton infliction of physical or mental suffering by one or more persons in an attempt to force another person to yield information or to make a confession or for any other reason",Articles_with_short_description | Ethically_disputed_judicial_practices | Human_rights_abuses | Philosophy_of_law | Political_violence | State_crime | Suffering | Torture
bn:00077666n,torture,torture,NOUN,,Unbearable physical pain,
bn:00077666n,torture,torment,NOUN,,Unbearable physical pain,
bn:00002071n,torture,agony,NOUN,An agony of doubt | The torments of the damned,Intense feelings of suffering; acute mental or physical pain,
bn:00002071n,torture,torment,NOUN,An agony of doubt | The torments of the damned,Intense feelings of suffering; acute mental or physical pain,
bn:00002071n,torture,torture,NOUN,An agony of doubt | The torments of the damned,Intense feelings of suffering; acute mental or physical pain,
bn:00024097n,roi,sovereign,NOUN,,A nation's ruler or head of state usually by hereditary right,All_articles_containing_potentially_dated_statements | All_articles_needing_additional_references | Articles_with_short_description | Monarchs | Monarchy | Noble_titles | Politics | Positions_of_authority | Titles
bn:00024097n,roi,crowned_head,NOUN,,A nation's ruler or head of state usually by hereditary right,All_articles_containing_potentially_dated_statements | All_articles_needing_additional_references | Articles_with_short_description | Monarchs | Monarchy | Noble_titles | Politics | Positions_of_authority | Titles
bn:00024097n,roi,monarch,NOUN,,A nation's ruler or head of state usually by hereditary right,All_articles_containing_potentially_dated_statements | All_articles_needing_additional_references | Articles_with_short_description | Monarchs | Monarchy | Noble_titles | Politics | Positions_of_authority | Titles
bn:00049147n,roi,king,NOUN,,(chess) the weakest but the most important piece,Articles_with_short_description | Chess_pieces | Pages_using_multiple_image_with_manual_scaled_images | Webarchive_template_archiveis_links
bn:00049146n,roi,king,NOUN,,One of the four playing cards in a deck bearing the picture of a king,Playing_cards
bn:00067500n,roi,return_on_invested_capital,NOUN,,"(corporate finance) the amount, expressed as a percentage, that is earned on a company's total capital calculated by dividing the total capital into earnings before interest, taxes, or dividends are paid",All_Wikipedia_articles_needing_clarification | All_articles_needing_additional_references | Factor_income_distribution | Financial_ratios | Investment | Investment_indicators | Yield_(finance)
