ID,Lemma,POS,Synset_ID,Synset_Lemma,Definition,Definition' source,Example,Example' source,Original HurtLex Category,Stereotype,synset_category,synonyms_en,definition_en,definition_category,ERIS_score,aikia_offensive_score
IT1075,pizza,noun,Synset('omw-iwn-07873807-n'),['pizza'],"focaccia fatta di farina, lievito e acqua, per lo più insaporita con pomodoro e mozzarella",omw,Modigliani è una Pizza!,se,,,,,,,,
IT2498,pagliaccio,noun,Synset('omw-iwn-09930876-n'),"['pagliaccio', 'buffone']",chi parla o agisce da pagliaccio,omw,"Miki Rourke è un pagliaccio, quel film fa schifo e chi ha scritto la battuta è un imbecille.",se,,,,,,,,
IT4641,violenza,noun,Synset('omw-iwn-00965404-n'),['violenza'],"atto violento, con cui si sopraffà la volontà altrui",omw,"Mi mandano insulti anche sulla email dell'associazione ed è una cosa molto grave, questa è una violenza.",se,,,,,,,,
IT4120,bebè,noun,Synset('omw-iwn-09827683-n'),"['poppante', 'lattante', 'infante', 'bebè', 'neonato']",lattante,omw,Mi dice che i maschietti della sua classe non lo lasciano giocare perché gli dicono che lui è un bebé e lo mandano via.,se,,,,,,,,
IT42,abuso,noun,Synset('omw-iwn-00947719-n'),['abuso'],uso eccessivo,omw,"Magari un mucchio di ramaglie non è un abuso edilizio, però potrebbe essere un inquinamento paesaggistico.",se,,,,,,,,
IT3460,palo,noun,Synset('omw-iwn-03976657-n'),"['stanga', 'palo', 'asta']",barra di materiale vario,omw,"Madonna seppur sexy è un palo, e l'unico che riesce veramente a farsi ricordare è l'esilarante Pacino.",se,,,,,,,,
IT2092,ipocrisia,noun,Synset('omw-iwn-06760076-n'),"['infingimento', 'falsità', 'ipocrisia']",atto da ipocrita,omw,Ma perché proprio i mediocri e gli inadatti sono quelli più disposti al compromesso e all' ipocrisia.,se,,,,,,,,
IT1109,boss,noun,Synset('omw-iwn-10104064-n'),['boss'],capo,omw,"Lo Zio è un boss della camorra, lucido, spietato, con un grande talento imprenditoriale.",se,,,,,,,,
IT3176,gelosia,noun,Synset('omw-iwn-00758335-n'),"['gelosia', 'invidia']","maligno sentimento di astio e rammarico per la felicità, il benessere, la fortuna altrui",omw,"Lo perdono anche se il suo commento trasuda stizza, invidia e gelosia.",se,,,,,,,,
IT1478,cinese,noun,Synset('omw-iwn-06929742-n'),['cinese'],"della Cina o relativo al popolo, alla cultura o alla lingua cinese",omw,"Lo ha apostrofato appunto con "" cinese,cinese sei un cinese "", il bimbo si e' arrabbiato molto.",se,,,,,,,,
IT456,casino,noun,Synset('omw-iwn-02977936-n'),"['casa da gioco', 'casinò']",luogo dove si gioca alla roulette e a vari giochi,omw,"Lasciando tutti di stucco, conferma la sentenza di secondo grado, a dimostrazione che la giustizia è un casino.",se,,,,,,,,
IT670,troia,noun,Synset('omw-iwn-10485440-n'),"['donnina allegra', 'baiadera', 'donnaccia', 'donna di malaffare', 'peripatetica', 'troia', 'zoccola', 'mignotta', 'passeggiatrice', 'bagascia', 'baldracca', 'battona', 'puttana', 'meretrice', 'prostituta', 'donnina', 'squillo', 'call girl', 'donna di vita', 'donna di strada']",donna che si guadagna da vivere prostituendosi,omw,Questa volta Giada ha avuto un comportamento da troia con il capo.,hn,,,,,,,,
IT2539,accanimento,noun,Synset('omw-iwn-07516997-n'),"['furore', 'accanimento']",odio intenso,omw,La vera vittima di questo accanimento è la qualità dell'insegnamento.,se,,,,,,,,
IT1480,circo,noun,Synset('omw-iwn-00519739-n'),"['circo equestre', 'circo']",spettacolo che si svoge in un circo,omw,"La televisione è un maledetto parco di divertimenti, la televisione è un circo, un carnevale.",se,,,,,,,,
IT3175,invidia,noun,Synset('omw-iwn-00758335-n'),"['gelosia', 'invidia']","maligno sentimento di astio e rammarico per la felicità, il benessere, la fortuna altrui",omw,"La rapida notorietà, infatti, suscitò molte invidie da parte di colleghi.",se,,,,,,,,
IT3701,oca,noun,Synset('omw-iwn-01855672-n'),['oca'],"grosso uccello dei palmipedi, con collo lungo e becco robusto, allevato per le carni e le piume",omw,"La quarantacinquenne Goldie Hawn, anche se vestita da ragazzina, starnazza come un' oca per tutto il film.",se,,,,,,,,
IT4265,sporco,adjective,Synset('omw-iwn-00419289-a'),"['immondo', 'lercio', 'sozzo', 'sordido', 'lurido', 'laido', 'lordo', 'sudicio', 'sporco']","Che è sporco, macchiato, imbrattato, unto",omw,La natura è ricorsa a un trucco sporco per spingerci alla riproduzione.,se,,,,,,,,
IT2485,gregge,noun,Synset('omw-iwn-07991169-n'),"['greggia', 'gregge']",gruppo di ovini raccolti insieme sotto la custodia di un pastore,omw,"La gente in questo paese ha perso il senso critico, non sa più ragionare con la propria testa e sa solo seguire il gregge.",se,,,,,,,,
IT2044,criminale,adjective,Synset('omw-iwn-01322323-a'),"['delinquenziale', 'delittuoso', 'criminoso', 'criminale']",estremamente riprovevole,dm,"La definitiva devastazione delle famiglie italiane, dai costi sociali incalcolabili, rappresenterebbe un autentico atto criminale.",se,,,,,,,,
IT4325,pazzo,adjective,Synset('omw-iwn-02075321-a'),"['demente', 'dissennato', 'mentecatto', 'matto', 'folle', 'pazzo']","si dice di persona che non ragiona, malata di mente",omw,"L'uomo non era del tutto a posto, era mezzo pazzo.",se,,,,,,,,
IT42,abuso,noun,Synset('omw-iwn-00735832-n'),"['arbitrio', 'abuso', 'prevaricazione']",atto d'abuso,omw,L'iscrizione è gratuita e serve ad evitare abusi ed eventuali utilizzi impropri.,se,,,,,,,,
IT2278,indegno,adjective,Synset('omw-iwn-00689471-a'),"['indecente', 'indegno', 'indecoroso']",privo di dignità e decoro,omw,L'indegna azione di Sesto provocò la ribellione dei Romani.,se,,,,,,,,
IT1275,boia,noun,Synset('omw-iwn-10069427-n'),"['giustiziere', 'carnefice', 'boia']",chi esegue materialmente una condanna capitale,omw,"L'esecutore materiale sa che lui è un boia, che ciò che fa è un male e che lo odiano per ciò che fa.",se,,,,,,,,
IT1307,basso,adjective,Synset('omw-iwn-02386612-a'),"['brevilineo', 'basso']",piccolo di statura,omw,L'attore che lo impersona è troppo basso.,se,,,,,,,,
IT2912,ideologia,noun,Synset('omw-iwn-06212839-n'),['ideologia'],teoria e insieme di idee,omw,"L'arte oggi è solo ideologia e politica, provocazione senza nessuna regola e per la quale non servono doti.",se,,,,,,,,
IT2231,folle,adjective,Synset('omw-iwn-02075321-a'),"['demente', 'dissennato', 'mentecatto', 'matto', 'folle', 'pazzo']","si dice di persona che non ragiona, malata di mente",omw,Io ti amo come una folle.,se,,,,,,,,
IT3440,infame,adjective,Synset('omw-iwn-01984411-a'),"['nefando', 'infame']",detto di persona o azione spregevole,omw,Io credo che questa ennesima infame canagliata sara' presto dimenticata.,se,,,,,,,,
IT4342,povero,adjective,Synset('omw-iwn-02336904-a'),"['esiguo', 'povero', 'scarso', 'insufficiente', 'gramo']",Che è inadeguato a un certo scopo o fine.,dm,Il tuo impegno è talmente povero che sarebbe difficile notarlo persino con una lente d’ingrandimento.,se,,,,,,,,
IT3382,maleducazione,noun,Synset('omw-iwn-04914292-n'),"['malacreanza', 'ineducazione', 'scortesia', 'maleducazione', 'villania']",mancanza di rispetto per le regole della buona educazione e del vivere civile,omw,Il tassista ha subito mostrato la sua maleducazione borbottando mentre sollevava uno dei bagagli.,se,,,,,,,,
IT2565,fascismo,noun,Synset('omw-iwn-06217944-n'),['fascismo'],Regime totalitario fondato su una politica o un’ideologia di tipo fascista.,dm,Il premio di maggioranza è fascismo allo stato puro.,se,,,,,,,,
IT1143,borghese,noun,Synset('omw-iwn-09869830-n'),['borghese'],"Costumi, abitudini e mentalità della borghesia, spregiativamente interpretate come reazionarie.",sc,"Il padre di Felicita è un borghese accanito, un usuraio quasi bifolco che di mestiere fa il farmacista.",se,,,,,,,,
IT3441,corrotto,adjective,Synset('omw-iwn-00621100-a'),"['perduto', 'corrotto', 'peccaminoso', 'vizioso']",detto di chi o cosa è moralmente corrotto e corruttibile,omw,I risparmi delle vittime andarono a arricchire i governanti corrotti.,se,,,,,,,,
IT3425,feroce,adjective,Synset('omw-iwn-01263013-a'),"['tristo', 'feroce', 'empio', 'crudo', 'perverso', 'terribile', 'perfido', 'scellerato', 'crudele', 'malvagio', 'disumano', 'selvaggio']","Che agisce in modo crudele; disumano, spietato.",dm,I due poliziotti sono soli ed ora il gruppo di paracadutisti li guarda con rabbia sorda e feroce.,se,,,,,,,,
IT1142,affari,noun,Synset('omw-iwn-01095753-n'),"[""attivita' economica"", 'commercio', 'scambio', 'negozio', 'business', 'affari', 'negoziazione', 'mercatura']",attività economica,omw,"I canili servono, ma troppo spesso sono solo un affare e luoghi di sofferenza inaudita.",se,,,,,,,,
